state,locality_type,household_size,income_bracket,e-literacy_level,total_devices_owned,avg_device_age_years,broken_devices_stored,upgrade_tendency,disposal_method,recycling_awareness,ewaste_kg_per_year
Telangana,Urban,5,Middle,Intermediate,12,3.8,0,Medium,Thrown in General Trash,Low,3.82
Karnataka,Urban,4,Upper-Middle,Intermediate,18,2.8,0,Medium,Gave away for reuse,Medium,7.43
Punjab,Urban,7,Low,Basic,7,7.6,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Rajasthan,Urban,7,Low,Basic,9,5.8,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.83
Delhi,Rural,6,Low,Basic,8,9.1,0,Low,Stored Indefinitely,Low,0.0
Telangana,Rural,7,Low,Basic,4,7.6,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Haryana,Urban,7,Low,Basic,7,5.7,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Bihar,Urban,8,Low,Basic,11,7.7,1,Low,Thrown in General Trash,Low,0.14
Rajasthan,Urban,8,Low,Basic,11,5.2,0,Low,Stored Indefinitely,Low,0.0
Maharashtra,Urban,5,Upper-Middle,Advanced,14,2.7,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,3.9
Punjab,Rural,5,Low,Basic,4,9.2,0,Low,Formal E-Waste Collection,Low,0.27
West Bengal,Rural,6,Middle,Basic,4,5.2,0,Low,Thrown in General Trash,Low,0.36
Kerala,Urban,6,Middle,Intermediate,15,3.7,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,5.25
West Bengal,Rural,4,Middle,Basic,9,5.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.82
Bihar,Urban,5,Low,Basic,7,6.0,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Kerala,Urban,7,Low,Basic,8,5.8,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Jharkhand,Urban,7,Low,Basic,7,5.5,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Madhya Pradesh,Urban,8,Low,Basic,9,5.6,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.16
Kerala,Urban,4,Upper-Middle,Advanced,17,2.9,0,High,Sold to Kabadiwala/Scrap Dealer,Medium,11.9
Rajasthan,Urban,6,Middle,Basic,14,4.2,2,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.56
Odisha,Rural,5,Middle,Basic,6,6.4,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Tamil Nadu,Urban,4,Middle,Basic,9,4.2,0,Medium,Formal E-Waste Collection,Low,2.14
Bihar,Urban,7,Low,Basic,8,6.8,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Kerala,Rural,7,Low,Basic,4,9.1,1,Low,Stored Indefinitely,Low,0.0
Andhra Pradesh,Urban,4,High,Advanced,27,2.2,0,High,Gave away for reuse,High,24.48
Uttar Pradesh,Rural,6,Middle,Basic,10,6.2,0,Low,Thrown in General Trash,Low,0.92
Odisha,Urban,4,Middle,Intermediate,9,5.1,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,1.36
West Bengal,Rural,6,Middle,Basic,10,6.5,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Tamil Nadu,Rural,4,Middle,Basic,8,6.2,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.05
Haryana,Urban,3,Upper-Middle,Basic,18,3.4,0,Medium,Sold to Kabadiwala/Scrap Dealer,High,4.67
West Bengal,Urban,8,Low,Basic,11,7.6,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Maharashtra,Urban,4,Middle,Basic,11,5.5,1,Medium,Thrown in General Trash,High,1.27
Uttar Pradesh,Rural,5,Upper-Middle,Basic,17,5.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,2.21
Telangana,Urban,2,High,Advanced,25,2.4,0,High,Gave away for reuse,High,16.56
Jharkhand,Urban,6,Low,Basic,10,5.5,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
West Bengal,Urban,5,Low,Basic,11,5.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.4
Maharashtra,Rural,5,Upper-Middle,Basic,14,5.0,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.59
Maharashtra,Urban,5,Low,Basic,10,6.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.1
Haryana,Urban,4,Upper-Middle,Intermediate,17,3.1,1,Medium,Sold to Kabadiwala/Scrap Dealer,High,6.37
Karnataka,Rural,4,Upper-Middle,Basic,15,5.4,1,Low,Thrown in General Trash,Low,0.71
Kerala,Rural,6,Low,Basic,6,9.4,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Telangana,Urban,8,Low,Basic,7,7.3,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.7
Andhra Pradesh,Urban,6,Low,Basic,7,7.0,1,Low,Thrown in General Trash,Low,0.0
Karnataka,Urban,7,Low,Basic,5,5.7,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.63
Jharkhand,Urban,4,Middle,Basic,12,4.2,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.06
Madhya Pradesh,Rural,7,Low,Basic,4,7.4,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Haryana,Rural,5,Upper-Middle,Basic,15,5.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.91
Haryana,Urban,3,Upper-Middle,Advanced,17,3.5,0,Medium,Formal E-Waste Collection,High,5.23
Telangana,Urban,4,High,Advanced,32,2.6,0,High,Sold to Kabadiwala/Scrap Dealer,Medium,19.29
Kerala,Rural,5,Upper-Middle,Basic,7,4.2,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.35
Bihar,Rural,7,Low,Basic,5,7.2,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Maharashtra,Urban,6,Low,Basic,5,6.6,0,Low,Formal E-Waste Collection,Low,0.63
West Bengal,Urban,5,Middle,Basic,11,4.5,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.68
Telangana,Urban,5,Middle,Intermediate,14,4.1,1,Medium,Sold to Kabadiwala/Scrap Dealer,High,4.03
Telangana,Rural,4,Upper-Middle,Basic,15,4.9,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.41
Gujarat,Urban,5,Middle,Basic,12,4.3,0,Medium,Formal E-Waste Collection,Medium,3.05
Punjab,Rural,2,High,Basic,29,3.0,0,Medium,Formal E-Waste Collection,Low,11.54
Uttar Pradesh,Urban,5,Upper-Middle,Intermediate,12,3.7,0,High,Sold to Kabadiwala/Scrap Dealer,Medium,7.12
Punjab,Rural,4,Upper-Middle,Basic,10,4.9,1,Low,Thrown in General Trash,Low,0.65
Maharashtra,Rural,5,Middle,Basic,9,6.8,1,Low,Stored Indefinitely,Low,0.0
Jharkhand,Urban,5,Upper-Middle,Advanced,21,2.7,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,11.65
Odisha,Rural,6,Low,Basic,4,9.1,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Gujarat,Rural,8,Low,Basic,4,6.6,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Punjab,Urban,7,Low,Basic,10,7.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.71
Telangana,Urban,8,Low,Basic,10,7.0,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.11
Telangana,Urban,3,High,Advanced,32,1.7,0,High,Sold to Kabadiwala/Scrap Dealer,Medium,31.09
Karnataka,Urban,4,Middle,Intermediate,14,4.5,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.66
West Bengal,Urban,5,Middle,Intermediate,12,4.5,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.44
Odisha,Urban,5,Low,Basic,8,5.5,1,Low,Formal E-Waste Collection,Low,0.19
Madhya Pradesh,Rural,7,Low,Basic,5,7.9,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Delhi,Urban,6,Low,Basic,10,7.1,1,Low,Thrown in General Trash,Low,0.12
Bihar,Urban,7,Low,Basic,9,5.8,1,Low,Thrown in General Trash,Low,0.19
Haryana,Urban,5,Middle,Intermediate,10,4.0,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.6
Kerala,Urban,3,Upper-Middle,Basic,19,4.0,0,Medium,Formal E-Waste Collection,Medium,4.83
Madhya Pradesh,Rural,4,Middle,Basic,7,6.6,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Andhra Pradesh,Urban,6,Middle,Intermediate,15,5.2,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.28
Kerala,Rural,5,Middle,Basic,9,5.4,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.28
Tamil Nadu,Urban,5,Upper-Middle,Intermediate,17,3.1,1,High,Stored Indefinitely,High,0.0
Uttar Pradesh,Urban,7,Low,Basic,8,5.9,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.11
Haryana,Urban,4,Middle,Basic,9,5.1,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,1.04
Tamil Nadu,Rural,5,Middle,Basic,5,6.4,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.65
Tamil Nadu,Rural,5,Upper-Middle,Basic,9,5.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.77
Karnataka,Rural,4,Middle,Basic,4,6.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.44
Telangana,Urban,6,Middle,Basic,11,5.0,2,Medium,Thrown in General Trash,Medium,1.1
Gujarat,Urban,8,Low,Basic,10,5.9,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Tamil Nadu,Urban,6,Low,Basic,6,6.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.67
Kerala,Urban,5,Low,Basic,8,5.5,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.1
Rajasthan,Rural,5,Middle,Basic,8,6.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.64
Odisha,Rural,5,Low,Basic,4,9.3,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Maharashtra,Urban,4,Middle,Intermediate,15,4.0,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,4.01
Haryana,Rural,2,High,Basic,24,3.0,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,8.22
Haryana,Urban,6,Middle,Basic,9,4.0,2,Medium,Sold to Kabadiwala/Scrap Dealer,Low,0.98
Jharkhand,Urban,7,Low,Basic,9,6.1,1,Low,Stored Indefinitely,Low,0.0
Madhya Pradesh,Rural,5,Low,Basic,6,6.6,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.68
Karnataka,Urban,5,Low,Basic,11,7.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.32
West Bengal,Urban,7,Low,Basic,11,5.1,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.31
Kerala,Urban,8,Low,Basic,6,5.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.71
Rajasthan,Rural,4,Upper-Middle,Basic,17,5.3,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.04
Karnataka,Rural,5,Middle,Basic,9,6.3,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.15
Karnataka,Urban,2,High,Advanced,29,1.9,0,High,Thrown in General Trash,High,29.08
Odisha,Rural,5,Middle,Basic,7,7.0,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Karnataka,Urban,5,Low,Basic,10,7.1,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.07
Haryana,Urban,5,Low,Basic,11,6.0,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.41
Andhra Pradesh,Urban,6,Middle,Basic,9,4.6,2,Medium,Sold to Kabadiwala/Scrap Dealer,Low,0.75
Haryana,Urban,4,Middle,Intermediate,9,4.5,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,1.48
Jharkhand,Urban,7,Low,Basic,6,5.1,2,Low,Thrown in General Trash,Low,0.0
Jharkhand,Urban,6,Middle,Advanced,14,4.2,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,2.5
Uttar Pradesh,Urban,5,Middle,Intermediate,12,4.9,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,1.81
Uttar Pradesh,Urban,7,Low,Basic,5,5.6,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Delhi,Urban,5,Low,Basic,8,6.4,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.62
Uttar Pradesh,Urban,5,Low,Basic,8,5.6,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.16
Kerala,Urban,4,High,Advanced,24,2.9,1,High,Gave away for reuse,High,14.44
Uttar Pradesh,Rural,8,Low,Basic,8,8.9,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.75
West Bengal,Urban,7,Low,Basic,11,7.4,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.15
Rajasthan,Rural,8,Low,Basic,4,7.8,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Jharkhand,Urban,8,Low,Basic,5,8.0,3,Low,Thrown in General Trash,Low,0.0
West Bengal,Urban,5,Middle,Intermediate,10,3.9,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.55
Madhya Pradesh,Rural,8,Low,Basic,4,7.8,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.31
Haryana,Urban,6,Middle,Intermediate,14,5.3,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,3.43
Uttar Pradesh,Urban,7,Low,Basic,10,7.1,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.75
Rajasthan,Urban,5,Middle,Basic,11,5.0,1,Medium,Gave away for reuse,Low,1.93
Bihar,Urban,8,Low,Basic,8,5.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.05
Rajasthan,Rural,8,Low,Basic,4,9.1,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Bihar,Urban,5,Low,Basic,5,6.3,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Gujarat,Rural,7,Low,Basic,8,8.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.63
Gujarat,Urban,6,Low,Basic,7,7.8,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.64
West Bengal,Rural,3,Upper-Middle,Basic,13,5.0,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.69
Bihar,Urban,8,Low,Basic,7,5.9,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.87
Madhya Pradesh,Rural,6,Low,Basic,4,6.9,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Delhi,Urban,2,High,Advanced,26,2.7,0,High,Sold to Kabadiwala/Scrap Dealer,Low,15.57
Gujarat,Urban,4,Middle,Intermediate,8,5.4,0,Medium,Stored Indefinitely,Medium,0.0
Haryana,Urban,4,Upper-Middle,Intermediate,15,4.0,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,4.13
Odisha,Urban,6,Middle,Intermediate,12,3.8,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,3.64
Karnataka,Urban,6,Middle,Basic,15,4.5,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.64
Maharashtra,Urban,7,Low,Basic,6,5.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.49
Maharashtra,Urban,5,Middle,Intermediate,11,3.8,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.66
Bihar,Urban,4,Middle,Intermediate,10,4.8,0,Medium,Sold to Kabadiwala/Scrap Dealer,High,2.17
Tamil Nadu,Urban,8,Low,Basic,10,7.7,1,Low,Thrown in General Trash,Low,0.07
Haryana,Urban,5,Middle,Intermediate,13,5.4,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.93
Rajasthan,Urban,6,Middle,Basic,9,4.4,0,Medium,Formal E-Waste Collection,Medium,2.55
Bihar,Urban,7,Low,Basic,5,5.3,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.55
Kerala,Urban,4,Middle,Intermediate,12,4.7,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,1.95
Karnataka,Urban,5,Low,Basic,7,8.0,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
West Bengal,Rural,6,Middle,Basic,7,6.9,1,Low,Thrown in General Trash,Low,0.0
Maharashtra,Urban,7,Low,Basic,9,6.7,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Rajasthan,Rural,6,Low,Basic,5,7.2,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Maharashtra,Urban,6,Middle,Intermediate,14,5.1,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.55
Telangana,Urban,8,Low,Basic,10,6.6,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.2
Delhi,Urban,4,Middle,Intermediate,9,3.7,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.9
Telangana,Rural,6,Low,Basic,4,8.9,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Delhi,Urban,6,Middle,Intermediate,9,4.2,2,Medium,Sold to Kabadiwala/Scrap Dealer,Low,0.96
Kerala,Urban,4,Upper-Middle,Advanced,19,3.2,0,Medium,Formal E-Waste Collection,High,7.85
Rajasthan,Rural,2,High,Basic,14,3.8,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,4.73
Tamil Nadu,Urban,7,Low,Basic,7,5.6,0,Low,Stored Indefinitely,Low,0.0
West Bengal,Urban,5,Middle,Basic,9,3.8,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.23
Kerala,Urban,5,Middle,Basic,13,4.2,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,2.79
Maharashtra,Urban,4,Middle,Advanced,12,4.9,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.08
Rajasthan,Urban,2,High,Advanced,34,2.8,0,High,Thrown in General Trash,High,19.9
Gujarat,Urban,4,Middle,Intermediate,11,5.0,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.83
Bihar,Urban,6,Low,Basic,7,6.1,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.49
Maharashtra,Rural,4,High,Basic,20,4.4,1,Medium,Thrown in General Trash,Low,5.27
West Bengal,Urban,4,Middle,Intermediate,9,4.2,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.51
West Bengal,Urban,4,Upper-Middle,Intermediate,16,3.4,1,High,Sold to Kabadiwala/Scrap Dealer,Low,7.01
Karnataka,Urban,6,Middle,Advanced,13,5.0,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.33
Delhi,Rural,6,Low,Basic,5,7.7,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.44
Kerala,Rural,8,Low,Basic,4,9.4,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Kerala,Rural,7,Low,Basic,4,9.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.24
Tamil Nadu,Rural,5,Middle,Basic,5,5.4,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Tamil Nadu,Urban,5,Middle,Intermediate,10,5.4,0,Medium,Sold to Kabadiwala/Scrap Dealer,High,2.45
Kerala,Urban,5,Middle,Basic,13,4.5,1,Medium,Sold to Kabadiwala/Scrap Dealer,High,1.61
Andhra Pradesh,Rural,5,Upper-Middle,Basic,16,4.4,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,4.9
Andhra Pradesh,Rural,7,Low,Basic,4,7.3,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Karnataka,Urban,6,Middle,Intermediate,11,4.0,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,3.07
Karnataka,Rural,5,Low,Basic,6,8.8,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Telangana,Urban,8,Low,Basic,9,6.1,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Odisha,Urban,5,Middle,Basic,15,4.7,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.33
Andhra Pradesh,Urban,5,Low,Basic,10,7.3,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.98
Tamil Nadu,Urban,6,Low,Basic,9,6.4,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.51
Jharkhand,Urban,4,Middle,Intermediate,11,4.2,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,2.4
Haryana,Urban,5,Low,Basic,11,7.6,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.11
Rajasthan,Urban,6,Low,Basic,5,6.4,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.5
Karnataka,Urban,7,Low,Basic,7,5.3,0,Low,Thrown in General Trash,Low,1.01
Odisha,Urban,7,Low,Basic,5,6.5,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Jharkhand,Urban,4,Middle,Intermediate,15,5.3,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,4.15
Gujarat,Urban,6,Low,Basic,11,6.9,2,Low,Formal E-Waste Collection,Low,0.0
Punjab,Urban,7,Low,Basic,6,6.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.79
Punjab,Urban,7,Low,Basic,10,8.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.91
West Bengal,Urban,5,Middle,Intermediate,8,5.3,1,Medium,Formal E-Waste Collection,Low,0.86
Bihar,Urban,7,Low,Basic,6,6.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.5
Karnataka,Rural,6,Middle,Basic,11,5.7,2,Low,Gave away for reuse,Low,0.0
Kerala,Rural,2,High,Basic,15,3.3,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.9
Jharkhand,Urban,8,Low,Basic,8,6.0,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Karnataka,Urban,5,Middle,Advanced,15,5.3,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.52
Madhya Pradesh,Rural,4,High,Basic,27,3.8,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,7.88
Maharashtra,Rural,6,Middle,Basic,6,5.4,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Haryana,Rural,4,High,Basic,26,4.1,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,7.77
Gujarat,Urban,5,Upper-Middle,Advanced,14,2.9,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,5.5
Punjab,Urban,7,Low,Basic,7,5.7,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.71
Haryana,Rural,5,Middle,Basic,7,5.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.69
Telangana,Rural,3,Upper-Middle,Basic,9,4.1,0,Medium,Thrown in General Trash,Low,3.12
Kerala,Urban,4,Middle,Intermediate,15,4.0,1,Medium,Gave away for reuse,Medium,3.13
Bihar,Urban,4,Middle,Intermediate,15,5.0,1,Medium,Thrown in General Trash,Low,2.9
Maharashtra,Rural,6,Low,Basic,5,7.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.39
Telangana,Rural,6,Middle,Basic,9,6.7,2,Low,Thrown in General Trash,Low,0.0
Andhra Pradesh,Rural,4,Upper-Middle,Basic,11,4.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.32
Telangana,Rural,6,Low,Basic,5,8.7,2,Low,Thrown in General Trash,Low,0.0
Punjab,Urban,5,Low,Basic,5,6.3,0,Low,Gave away for reuse,Low,0.42
Haryana,Urban,6,Middle,Intermediate,10,4.3,0,Medium,Thrown in General Trash,Low,2.8
Tamil Nadu,Urban,5,Low,Basic,10,5.9,1,Low,Thrown in General Trash,Low,0.23
Delhi,Rural,3,Upper-Middle,Basic,15,5.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,2.07
Madhya Pradesh,Rural,6,Middle,Basic,8,6.5,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.02
Bihar,Urban,5,Middle,Intermediate,14,5.2,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,2.2
Delhi,Urban,7,Low,Basic,7,6.6,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Telangana,Rural,5,Low,Basic,4,8.8,1,Low,Stored Indefinitely,Low,0.0
Madhya Pradesh,Urban,5,Low,Basic,5,7.7,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.39
Telangana,Rural,4,Middle,Basic,5,5.9,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.58
Jharkhand,Rural,2,High,Basic,26,3.4,0,Medium,Formal E-Waste Collection,Low,9.69
West Bengal,Urban,4,High,Advanced,31,2.2,1,High,Formal E-Waste Collection,High,26.93
Telangana,Urban,5,Middle,Intermediate,9,4.7,1,Medium,Thrown in General Trash,Medium,1.48
Gujarat,Urban,4,High,Advanced,19,1.5,0,High,Formal E-Waste Collection,High,29.01
Madhya Pradesh,Urban,5,Low,Basic,6,6.4,1,Low,Thrown in General Trash,Low,0.0
Bihar,Urban,8,Low,Basic,9,5.2,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Gujarat,Rural,5,Middle,Basic,6,6.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.67
Punjab,Rural,7,Low,Basic,7,7.5,1,Low,Thrown in General Trash,Low,0.0
Punjab,Urban,7,Low,Basic,10,5.6,1,Low,Gave away for reuse,Low,0.38
Haryana,Urban,4,Upper-Middle,Intermediate,13,3.5,0,Medium,Thrown in General Trash,Medium,3.71
Karnataka,Urban,6,Middle,Intermediate,8,3.9,2,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.06
Jharkhand,Urban,7,Low,Basic,6,5.7,2,Low,Formal E-Waste Collection,Low,0.0
Punjab,Urban,6,Low,Basic,5,5.7,1,Low,Stored Indefinitely,Low,0.0
Haryana,Rural,5,Low,Basic,4,8.0,1,Low,Stored Indefinitely,Low,0.0
Uttar Pradesh,Urban,5,Middle,Basic,8,3.6,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,2.83
Gujarat,Rural,4,Middle,Basic,6,6.9,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Bihar,Urban,6,Low,Basic,8,5.3,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.06
Gujarat,Rural,5,Middle,Basic,8,5.7,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.8
Telangana,Urban,4,Middle,Basic,12,4.6,0,Medium,Formal E-Waste Collection,Medium,2.36
Bihar,Urban,5,Low,Basic,9,5.3,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.83
Kerala,Urban,3,Upper-Middle,Intermediate,13,3.1,0,Medium,Gave away for reuse,Medium,4.1
West Bengal,Urban,5,Middle,Basic,14,4.6,1,Medium,Thrown in General Trash,Low,2.42
Maharashtra,Urban,6,Low,Basic,7,6.4,0,Low,Thrown in General Trash,Low,0.55
Maharashtra,Urban,6,Middle,Intermediate,8,3.8,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,2.63
Karnataka,Rural,6,Low,Basic,4,8.2,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Punjab,Rural,6,Middle,Basic,11,5.8,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Odisha,Rural,5,Low,Basic,4,9.4,1,Low,Stored Indefinitely,Low,0.0
Tamil Nadu,Urban,6,Low,Basic,9,7.6,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.74
